Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
ythB	b4802	protein YthB				P0DSI0	
ykiE	b4801	protein YkiE		membrane		P0DSH9	
ytgA	b4800	protein YtgA		membrane		P0DSH8	
ysgD	b4799	protein YsgD				P0DSH7	
ysdE	b4798	protein YsdE				P0DSH6	
yicU	b4797	protein YicU				P0DSH5	
yibY	b4796	protein YibY		membrane		P0DSH4	
yibX	b4795	protein YibX-S // protein YibX		membrane		P0DSH3	
baxL	b4794	putative translational regulatory protein BaxL	regulation of translation // negative regulation of cellular process			P0DSH2	
ysaE	b4793	protein YsaE		membrane		P0DSH1	
yriB	b4792	protein YriB		membrane		P0DSH0	
yriA	b4791	protein YriA		membrane		P0DSG9	
yhiY	b4790	protein YhiY		membrane		P0DSG8	
yhgP	b4789	protein YhgP		membrane		P0DSG7	
yhgO	b4788	protein YhgO		membrane		P0DSG6	
yqiM	b4787	protein YqiM				P0DSG5	
yqhJ	b4786	protein YqhJ				P0DSG4	
yqgH	b4785	protein YqgH		membrane		P0DSG3	
yqgG	b4784	protein YqgG				P0DSG2	
yfiS	b4783	protein YfiS		membrane		P0DSG1	
pssL	b4782	protein PssL				P0DSG0	
evgL	b4781	protein EvgL				P0DSF9	
yodE	b4780	CPS-53 (KpLE1) prophage; toxic protein YodE	negative regulation of cell growth	membrane		P0DSF8	
yoaM	b4779	protein YoaM		membrane		P0DSF7	
yecV	b4778	protein YecV				P0DSF6	
mdtU	b4777	protein MdtU				P0DSF5	ydgV
ynfU	b4776	Qin prophage; putative zinc-binding protein YnfU			metal ion binding	P0DSF4	
mgtT	b4775	protein MgtT				P0DSF3	
yncP	b4774	protein YncP		membrane		P0DSF2	
ynaN	b4773	protein YnaN				P0DSF1	
ymiD	b4772	protein YmiD				P0DSF0	
ychT	b4771	protein YchT		membrane		P0DSE9	
yljB	b4770	protein YljB				P0DSE8	
ybiE	b4769	protein YbiE				P0DSE7	
ybgV	b4768	protein YbgV				P0DSE6	
ytiB	b4767	protein YtiB		membrane		P0DSE5	
