	Chr	Start	End	operon_name	Strand	GeneID	genes	ngenes	protein_coding	sigma	nascent_wt	total_wt	nascent_wt44	total_wt44
0	MG1655	1004768	1005778	pyrD	+	operon_tu1	pyrD	1	TRUE	sigma70	0	49	0	93
1	MG1655	1005952	1006494	zapC	+	operon_tu2	zapC	1	TRUE	unknown	3	296	19	783
2	MG1655	1006491	1007600	ycbX	-	operon_tu3	ycbX	1	TRUE	unknown	0	146	2	122
3	MG1655	1007844	1011871	rlmL-uup	+	operon_tu4	rlmL;uup	2	TRUE	unknown	1	341	22	901
4	MG1655	1012001	1015459	pqiABC	+	operon_tu5	pqiA;pqiB;pqiC	3	TRUE	sigma38	8	318	19	818
5	MG1655	1015715	1015882	rmf	+	operon_tu6	rmf	1	TRUE	unknown	6	782	8	1521
6	MG1655	1015952	1016470	fabA	-	operon_tu7	fabA	1	TRUE	sigma70	1	329	4	359
7	MG1655	1016539	1018299	ycbZ	-	operon_tu8	ycbZ	1	TRUE	unknown	3	330	10	403
8	MG1655	1018485	1018937	matP	+	operon_tu9	matP	1	TRUE	unknown	1	197	4	461
9	MG1655	1019013	1020053	ompA	-	operon_tu10	ompA	1	TRUE	sigma70	93	29931	308	64239
10	MG1655	1020410	1020919	sulA	-	operon_tu11	sulA	1	TRUE	sigma70	3	119	7	227
11	MG1655	1021138	1021767	yccR	+	operon_tu12	sxy	1	TRUE	sigma70	3	175	4	214
12	MG1655	1021730	1024348	yccFS	-	operon_tu13	yccF;yccS	2	TRUE	unknown	1	173	19	358
13	MG1655	1024471	1026525	helD	+	operon_tu14	helD	1	TRUE	unknown	5	363	27	906
14	MG1655	1026557	1027015	mgsA	-	operon_tu15	mgsA	1	TRUE	unknown	6	1928	10	992
15	MG1655	1027111	1027773	yccT	-	operon_tu16	csgI	1	FALSE	unknown	4	72	4	222
16	MG1655	1027946	1028359	yccU	+	operon_tu17	yccU	1	TRUE	unknown	0	177	3	203
17	MG1655	1028404	1028721	hspQ	-	operon_tu18	hspQ	1	TRUE	sigma32	0	135	58	2728
18	MG1655	1028779	1029969	rlmI	-	operon_tu19	rlmI	1	TRUE	unknown	0	95	2	203
