chrom	operon_name	strand	GeneID	genes	sigma	nascent_wt	totat_wt	nascent_wt44	totat_wt44	operon_id	start	end	keep
NC_000913.3	pyrD	+	operon_tu1	pyrD	sigma70	0	49	0	93	RDBECOLIOPC00922	1004768	1005778	False
NC_000913.3	zapC	+	operon_tu2	zapC	unknown	3	296	19	783	RDBECOLIOPC00296	1005952	1006494	False
NC_000913.3	ycbX	-	operon_tu3	ycbX	unknown	0	146	2	122	RDBECOLIOPC00806	1006491	1007600	False
NC_000913.3	rlmL-uup	+	operon_tu4	rlmL;uup	unknown	1	341	22	901	RDBECOLIOPC00541	1007844	1011871	True
NC_000913.3	pqiABC	+	operon_tu5	pqiA;pqiB;pqiC	sigma38	8	318	19	818	RDBECOLIOPC02217	1012001	1015459	True
NC_000913.3	fabA	-	operon_tu7	fabA	sigma70	1	329	4	359	RDBECOLIOPC01874	1015952	1016470	False
NC_000913.3	ycbZ	-	operon_tu8	ycbZ	unknown	3	330	10	403	RDBECOLIOPC01771	1016539	1018299	True
NC_000913.3	ompA	-	operon_tu10	ompA	sigma70	93	29931	308	64239	RDBECOLIOPC00898	1019013	1020053	False
NC_000913.3	sulA	-	operon_tu11	sulA	sigma70	3	119	7	227	RDBECOLIOPC01219	1020410	1020919	False
NC_000913.3	yccR	+	operon_tu12	sxy	sigma70	3	175	4	214	RDBECOLIOPC02507	1021138	1021767	False
NC_000913.3	yccFS	-	operon_tu13	yccF;yccS	unknown	1	173	19	358	RDBECOLIOPC00800	1021730	1024348	True
NC_000913.3	helD	+	operon_tu14	helD	unknown	5	363	27	906	RDBECOLIOPC01330	1024471	1026525	True
NC_000913.3	yccT	-	operon_tu16	csgI	unknown	4	72	4	222	RDBECOLIOPC01418	1027111	1027773	False
NC_000913.3	rlmI	-	operon_tu19	rlmI	unknown	0	95	2	203	RDBECOLIOPC02202	1028779	1029969	False
NC_000913.3	yccA	-	operon_tu22	yccA	sigma70	4	544	4	418	RDBECOLIOPC00250	1030759	1031418	False
NC_000913.3	hyaABCDEF	+	operon_tu24	hyaA;hyaB;hyaC;hyaD;hyaE;hyaF	sigma38	1	139	11	349	RDBECOLIOPC02045	1032139	1037606	True
NC_000913.3	appCBA-yccB	+	operon_tu25	appC;appB;appX;appA	sigma38	1	175	5	514	RDBECOLIOPC03085	1037740	1041915	True
NC_000913.3	gfcE-etp-etk	-	operon_tu26	gfcE;etp;etk	unknown	0	118	6	394	RDBECOLIOPC01818	1042030	1045803	True
NC_000913.3	gfcBCD	-	operon_tu27	gfcB;gfcC;gfcD	unknown	3	75	7	336	RDBECOLIOPC00842	1045849	1049332	True
NC_000913.3	stfZ	-	operon_tu29	stfZ	sigma70	0	67	0	127	RDBECOLIOPC03418	104948	105499	False
NC_000913.3	insA4AB4B4	+	operon_tu30	insA4;insAB4;insB4	unknown	0	74	0	62	RDBECOLIOPC01460	1049833	1050530	False
NC_000913.3	yccM	-	operon_tu35	yccM	unknown	0	26	0	74	RDBECOLIOPC02129	1052289	1053362	False
NC_000913.3	torS	-	operon_tu36	torS	unknown	0	104	7	197	RDBECOLIOPC01141	1053434	1056178	True
NC_000913.3	torT	+	operon_tu37	torT	unknown	0	89	4	137	RDBECOLIOPC00361	1056261	1057289	False
NC_000913.3	torR	-	operon_tu38	torR	sigma70	0	61	6	314	RDBECOLIOPC02418	1057262	1057954	False
NC_000913.3	torCAD	+	operon_tu39	torC;torA;torD	sigma70	0	87	2	269	RDBECOLIOPC01095	1058084	1062398	True
NC_000913.3	cbpA-cbpM	-	operon_tu40	cbpA;cbpM	sigma70	5	676	6	1630	RDBECOLIOPC03004	1062550	1063775	False
NC_000913.3	yccE	+	operon_tu41	yccE	sigma32	0	138	0	238	RDBECOLIOPC00285	1064036	1065292	False
NC_000913.3	yaaW	-	operon_tu42	yaaW	unknown	0	16	2	55	RDBECOLIOPC01733	10643	11356	False
NC_000913.3	agp	+	operon_tu43	agp	unknown	24	5344	20	3604	RDBECOLIOPC01677	1065585	1066826	False
NC_000913.3	wrbA-yccJ	-	operon_tu44	wrbA;yccJ	sigma38	1	363	11	2966	RDBECOLIOPC01755	1066864	1067708	False
NC_000913.3	rutABCDEFG	-	operon_tu46	rutA;rutB;rutC;rutD;rutE;rutF;rutG	sigma54	2	71	4	220	RDBECOLIOPC01553	1068511	1074011	True
NC_000913.3	rutR	+	operon_tu47	rutR	sigma70	0	50	0	133	RDBECOLIOPC02730	1074242	1074880	False
NC_000913.3	putA	-	operon_tu48	putA	sigma70	0	232	6	812	RDBECOLIOPC01386	1074920	1078882	True
NC_000913.3	secMA-mutT	+	operon_tu49	secM;secA;mutT	unknown	26	1992	135	3942	RDBECOLIOPC00208	107705	111433	True
NC_000913.3	putP	+	operon_tu50	putP	sigma70	1	105	7	278	RDBECOLIOPC03289	1079305	1080813	True
NC_000913.3	efeU	+	operon_tu51	efeU	sigma70	0	17	0	26	RDBECOLIOPC00786	1081356	1082185	False
NC_000913.3	efeOB	+	operon_tu52	efeO;efeB	unknown	0	41	0	113	RDBECOLIOPC00022	1082243	1084647	True
NC_000913.3	phoH	+	operon_tu54	phoH	sigma70	0	24	1	63	RDBECOLIOPC01034	1084992	1086056	False
NC_000913.3	pgaABCD	-	operon_tu55	pgaA;pgaB;pgaC;pgaD	unknown	0	160	2	410	RDBECOLIOPC01963	1086106	1092289	True
NC_000913.3	ycdT	+	operon_tu56	dgcT	sigma70	1	43	2	142	RDBECOLIOPC02076	1092876	1094234	False
NC_000913.3	insE4F4EF4	-	operon_tu57	insEF4;insE4;insF4	unknown	0	4	0	4	RDBECOLIOPC01405	1094275	1095437	False
NC_000913.3	ymdE-ycdU	+	operon_tu58	ymdE;ycdU	unknown	0	21	2	60	RDBECOLIOPC00508	1095544	1096829	False
NC_000913.3	ghrA	+	operon_tu60	ghrA	unknown	3	366	4	566	RDBECOLIOPC02182	1097886	1098824	False
NC_000913.3	ycdXY	+	operon_tu61	ycdX;ycdY	unknown	9	579	24	892	RDBECOLIOPC01087	1098879	1100194	False
NC_000913.3	csgDEFG	-	operon_tu63	csgD;csgE;csgF;csgG	sigma70	0	89	4	195	RDBECOLIOPC02393	1100851	1103196	True
NC_000913.3	csgBAC	+	operon_tu64	csgB;csgA;csgC	sigma70	0	58	0	159	RDBECOLIOPC02941	1103951	1105293	False
NC_000913.3	ymdAB-clsC	+	operon_tu65	ymdA;ymdB;clsC	unknown	5	338	13	503	RDBECOLIOPC03372	1105414	1107776	True
